FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,AM1,AM2,AM3,AM4,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP,final1,final2
0,0.03947368421052632,0.027027027027027032,0.03947368421052632,0.027027027027027032,1.0,0.3333333333333333,1,3,2,2,0,1,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.6666666666666666,0.6666666666666666,2.0,1.0,0.0
1,0.0,0.040540540540540536,0.0,0.040540540540540536,1.3333333333333333,1.3333333333333333,3,0,2,2,3,0,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-4.0,0.0,1.0
0,0.02631578947368421,0.013513513513513514,0.02631578947368421,0.013513513513513514,0.3333333333333333,1.0,1,0,2,2,3,1,2,2,0,0,0,0,0,0,0,0,0.0,0.0,-0.6666666666666666,-0.6666666666666666,-5.0,1.0,0.0
0,0.05263157894736842,0.040540540540540536,0.05263157894736842,0.040540540540540536,0.3333333333333333,1.3333333333333333,1,0,2,2,3,0,2,2,0,0,0,0,0,0,0,0,0.0,0.0,-1.0,-1.0,7.0,1.0,0.0
0,0.13157894736842105,0.027027027027027032,0.13157894736842105,0.027027027027027032,1.75,1.25,3,3,0,2,0,3,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,-10.0,1.0,0.0
1,0.06578947368421052,0.08108108108108109,0.06578947368421052,0.08108108108108109,0.25,1.75,1,0,1,2,3,0,3,2,0,0,0,0,0,0,0,0,0.0,0.0,-1.5,-1.5,6.0,0.0,1.0
0,0.07894736842105263,0.054054054054054064,0.07894736842105263,0.054054054054054064,0.75,1.25,0,0,0,2,0,0,3,2,0,0,0,0,0,0,0,0,0.0,0.0,-0.5,-0.5,-9.0,1.0,0.0
1,0.05263157894736842,0.027027027027027032,0.05263157894736842,0.027027027027027032,1.0,0.75,1,3,0,2,1,1,3,2,0,0,0,0,0,0,0,0,0.0,0.0,0.25,0.25,-12.0,0.0,1.0
1,0.07894736842105263,0.06756756756756757,0.07894736842105263,0.06756756756756757,1.0,1.0,0,3,1,2,0,1,3,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-7.0,0.0,1.0
1,0.02631578947368421,0.0,0.02631578947368421,0.0,0.75,1.0,1,3,1,2,1,3,0,2,0,0,0,0,0,0,0,0,0.0,0.0,-0.25,-0.25,6.0,0.0,1.0
1,0.06578947368421052,0.10810810810810813,0.06578947368421052,0.10810810810810813,0.0,2.25,1,1,1,2,3,3,3,2,0,0,0,0,0,0,0,0,0.0,0.0,-2.25,-2.25,18.0,0.0,1.0
1,0.05263157894736842,0.06756756756756757,0.05263157894736842,0.06756756756756757,0.75,1.0,3,1,1,2,3,1,0,2,0,0,0,0,0,0,0,0,0.0,0.0,-0.25,-0.25,6.0,0.0,1.0
1,0.03947368421052632,0.040540540540540536,0.03947368421052632,0.040540540540540536,1.25,1.0,0,3,0,2,3,1,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.25,0.25,12.0,0.0,1.0
0,0.06578947368421052,0.054054054054054064,0.06578947368421052,0.054054054054054064,0.0,1.5,1,1,1,2,3,1,3,2,0,0,0,0,0,0,0,0,0.0,0.0,-1.5,-1.5,4.0,1.0,0.0
1,0.05263157894736842,0.054054054054054064,0.05263157894736842,0.054054054054054064,1.2,1.0,1,3,1,3,1,0,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,-5.0,0.0,1.0
1,0.05263157894736842,0.0945945945945946,0.05263157894736842,0.0945945945945946,0.8,1.2,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-0.4,-0.4,7.0,0.0,1.0
1,0.10526315789473684,0.10810810810810813,0.10526315789473684,0.10810810810810813,0.4,0.8,0,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0.0,0.0,-0.4,-0.4,-5.0,0.0,1.0
1,0.07894736842105263,0.10810810810810813,0.07894736842105263,0.10810810810810813,0.6,0.0,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,-7.0,0.0,1.0
1,0.06578947368421052,0.14864864864864866,0.06578947368421052,0.14864864864864866,1.0,2.0,0,3,1,0,3,3,3,0,0,0,0,0,0,0,0,0,0.0,0.0,-1.0,-1.0,6.0,0.0,1.0
0,0.013157894736842105,0.06756756756756757,0.013157894736842105,0.06756756756756757,1.0,1.0,0,1,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-12.0,1.0,0.0
0,0.03947368421052632,0.040540540540540536,0.03947368421052632,0.040540540540540536,0.8,1.2,0,1,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0.0,0.0,-0.4,-0.4,-7.0,1.0,0.0
0,0.10526315789473684,0.0945945945945946,0.10526315789473684,0.0945945945945946,2.4,1.4,3,3,3,3,3,0,1,3,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,-17.0,1.0,0.0
0,0.07894736842105263,0.040540540540540536,0.07894736842105263,0.040540540540540536,1.6,1.0,0,3,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,-5.0,1.0,0.0
1,0.13157894736842105,0.06756756756756757,0.13157894736842105,0.06756756756756757,0.8,1.0,0,3,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0.0,0.0,-0.2,-0.2,13.0,0.0,1.0
1,0.17105263157894735,0.08108108108108109,0.17105263157894735,0.08108108108108109,1.8333333333333333,1.1666666666666667,0,3,3,3,3,0,1,3,0,0,0,0,0,0,0,0,0.0,0.0,0.6666666666666666,0.6666666666666666,-7.0,0.0,1.0
1,0.03947368421052632,0.14864864864864866,0.03947368421052632,0.14864864864864866,1.0,0.6666666666666666,1,0,0,3,1,0,3,1,0,0,0,0,0,0,0,0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,0.0,1.0
1,0.11842105263157895,0.06756756756756757,0.11842105263157895,0.06756756756756757,1.1666666666666667,0.8333333333333334,1,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.3333333333333333,0.3333333333333333,4.0,0.0,1.0
1,0.09210526315789473,0.10810810810810813,0.09210526315789473,0.10810810810810813,1.1666666666666667,0.3333333333333333,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.8333333333333334,0.8333333333333334,1.0,0.0,1.0
1,0.06578947368421052,0.08108108108108109,0.06578947368421052,0.08108108108108109,0.8333333333333334,1.0,1,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0.0,0.0,-0.16666666666666666,-0.16666666666666666,-4.0,0.0,1.0
0,0.07894736842105263,0.16216216216216214,0.07894736842105263,0.16216216216216214,1.3333333333333333,2.5,3,0,1,3,3,3,3,3,0,0,0,0,1,1,0,0,0.0,0.0,-1.1666666666666667,-1.1666666666666667,1.0,1.0,0.0
0,0.11842105263157895,0.054054054054054064,0.11842105263157895,0.054054054054054064,0.16666666666666666,1.3333333333333333,0,1,1,1,3,0,1,3,0,0,1,0,0,0,0,0,0.0,0.0,-1.1666666666666667,-1.1666666666666667,15.0,1.0,0.0
1,0.07894736842105263,0.12162162162162166,0.07894736842105263,0.12162162162162166,1.0,1.8333333333333333,0,1,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0.0,0.0,-0.8333333333333334,-0.8333333333333334,13.0,0.0,1.0
1,0.11842105263157895,0.0945945945945946,0.11842105263157895,0.0945945945945946,1.1666666666666667,0.6666666666666666,3,1,0,3,0,3,1,1,0,0,0,0,0,0,1,0,0.0,0.0,0.5,0.5,-1.0,0.0,1.0
1,0.07894736842105263,0.06756756756756757,0.07894736842105263,0.06756756756756757,0.8333333333333334,1.1666666666666667,1,1,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0.0,0.0,-0.3333333333333333,-0.3333333333333333,8.0,0.0,1.0
1,0.03947368421052632,0.12162162162162166,0.03947368421052632,0.12162162162162166,1.0,0.42857142857142855,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.5714285714285714,0.42857142857142855,11.0,0.0,1.0
0,0.10526315789473684,0.08108108108108109,0.10526315789473684,0.08108108108108109,1.0,1.1428571428571428,3,0,3,1,3,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,-0.14285714285714285,0.2857142857142857,-2.0,1.0,0.0
1,0.09210526315789473,0.14864864864864866,0.09210526315789473,0.14864864864864866,1.0,1.7142857142857142,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0.0,0.0,-0.7142857142857143,-0.42857142857142855,9.0,0.0,1.0
0,0.06578947368421052,0.08108108108108109,0.06578947368421052,0.08108108108108109,1.1428571428571428,1.4285714285714286,1,3,0,1,3,0,1,3,0,0,0,0,0,0,0,0,0.0,0.0,-0.2857142857142857,0.0,-4.0,1.0,0.0
1,0.09210526315789473,0.10810810810810813,0.09210526315789473,0.10810810810810813,1.4285714285714286,1.0,3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.42857142857142855,0.5714285714285714,-3.0,0.0,1.0
1,0.11842105263157895,0.0945945945945946,0.11842105263157895,0.0945945945945946,0.5714285714285714,1.1428571428571428,3,0,1,1,0,0,3,0,0,0,1,0,0,0,0,0,0.0,0.0,-0.5714285714285714,-0.42857142857142855,12.0,0.0,1.0
0,0.15789473684210525,0.10810810810810813,0.15789473684210525,0.10810810810810813,0.7142857142857143,0.7142857142857143,0,1,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.42857142857142855,-1.0,1.0,0.0
0,0.15789473684210525,0.21621621621621626,0.15789473684210525,0.21621621621621626,2.142857142857143,1.5714285714285714,1,3,3,3,1,0,3,3,1,0,0,0,1,0,0,0,0.0,0.0,0.5714285714285714,0.2857142857142857,-2.0,1.0,0.0
1,0.09210526315789473,0.16216216216216214,0.09210526315789473,0.16216216216216214,0.8571428571428571,1.0,0,1,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0.0,0.0,-0.14285714285714285,0.14285714285714285,-13.0,0.0,1.0
