FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
H,0.13157894736842105,0.02702702702702703,0.13157894736842105,0.02702702702702703,1.75,1.25,W,W,D,M,M,D,W,D,M,M,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,-10.0
NH,0.06578947368421052,0.08108108108108109,0.06578947368421052,0.08108108108108109,0.25,1.75,L,D,L,M,M,W,D,W,M,M,0,0,0,0,0,0,0,0,0.0,0.0,-1.5,-1.5,6.0
H,0.07894736842105263,0.05405405405405406,0.07894736842105263,0.05405405405405406,0.75,1.25,D,D,D,M,M,D,D,W,M,M,0,0,0,0,0,0,0,0,0.0,0.0,-0.5,-0.5,-9.0
NH,0.05263157894736842,0.02702702702702703,0.05263157894736842,0.02702702702702703,1.0,0.75,L,W,D,M,M,L,L,W,M,M,0,0,0,0,0,0,0,0,0.0,0.0,0.25,0.25,-12.0
NH,0.07894736842105263,0.06756756756756757,0.07894736842105263,0.06756756756756757,1.0,1.0,D,W,L,M,M,D,L,W,M,M,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-7.0
NH,0.02631578947368421,0.0,0.02631578947368421,0.0,0.75,1.0,L,W,L,M,M,L,W,D,M,M,0,0,0,0,0,0,0,0,0.0,0.0,-0.25,-0.25,6.0
NH,0.06578947368421052,0.10810810810810811,0.06578947368421052,0.10810810810810811,0.0,2.25,L,L,L,M,M,W,W,W,M,M,0,0,0,0,0,0,0,0,0.0,0.0,-2.25,-2.25,18.0
NH,0.05263157894736842,0.06756756756756757,0.05263157894736842,0.06756756756756757,0.75,1.0,W,L,L,M,M,W,L,D,M,M,0,0,0,0,0,0,0,0,0.0,0.0,-0.25,-0.25,6.0
NH,0.039473684210526314,0.04054054054054054,0.039473684210526314,0.04054054054054054,1.25,1.0,D,W,D,M,M,W,L,D,M,M,0,0,0,0,0,0,0,0,0.0,0.0,0.25,0.25,12.0
H,0.06578947368421052,0.05405405405405406,0.06578947368421052,0.05405405405405406,0.0,1.5,L,L,L,M,M,W,L,W,M,M,0,0,0,0,0,0,0,0,0.0,0.0,-1.5,-1.5,4.0
NH,0.05263157894736842,0.05405405405405406,0.05263157894736842,0.05405405405405406,1.2,1.0,L,W,L,W,M,L,D,W,D,M,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,-5.0
NH,0.05263157894736842,0.0945945945945946,0.05263157894736842,0.0945945945945946,0.8,1.2,D,L,L,W,M,W,D,D,D,M,0,0,0,0,0,0,0,0,0.0,0.0,-0.4,-0.4,7.0
